	 i = 50    	 yi = 17.4247    	 xi = 1.59375    	 h = 0.03125    	 yi(1/2) = 17.4247    	 yi - yi(1/2) = 1.22802e-08    	 LEE = 1.30989e-08    	 c1 = 4    	 c2 = 0
	 i = 51    	 yi = 18.4886    	 xi = 1.625    	 h = 0.03125    	 yi(1/2) = 18.4886    	 yi - yi(1/2) = 1.29189e-08    	 LEE = 1.37801e-08    	 c1 = 4    	 c2 = 0
	 i = 52    	 yi = 19.6128    	 xi = 1.65625    	 h = 0.03125    	 yi(1/2) = 19.6128    	 yi - yi(1/2) = 1.3588e-08    	 LEE = 1.44939e-08    	 c1 = 4    	 c2 = 0
	 i = 53    	 yi = 20.8002    	 xi = 1.6875    	 h = 0.03125    	 yi(1/2) = 20.8002    	 yi - yi(1/2) = 1.4289e-08    	 LEE = 1.52416e-08    	 c1 = 4    	 c2 = 0
	 i = 54    	 yi = 21.4187    	 xi = 1.70312    	 h = 0.03125    	 yi(1/2) = 21.4187    	 yi - yi(1/2) = 4.67633e-10    	 LEE = 4.98809e-10    	 c1 = 5    	 c2 = 1
	 i = 55    	 yi = 22.0542    	 xi = 1.71875    	 h = 0.015625    	 yi(1/2) = 22.0542    	 yi - yi(1/2) = 4.79471e-10    	 LEE = 5.11435e-10    	 c1 = 6    	 c2 = 1
	 i = 56    	 yi = 22.7072    	 xi = 1.73438    	 h = 0.015625    	 yi(1/2) = 22.7072    	 yi - yi(1/2) = 4.91578e-10    	 LEE = 5.2435e-10    	 c1 = 6    	 c2 = 1
	 i = 57    	 yi = 23.3781    	 xi = 1.75    	 h = 0.015625    	 yi(1/2) = 23.3781    	 yi - yi(1/2) = 5.03974e-10    	 LEE = 5.37572e-10    	 c1 = 6    	 c2 = 1
	 i = 58    	 yi = 24.0673    	 xi = 1.76562    	 h = 0.015625    	 yi(1/2) = 24.0673    	 yi - yi(1/2) = 5.1666e-10    	 LEE = 5.51105e-10    	 c1 = 6    	 c2 = 1
	 i = 59    	 yi = 24.7754    	 xi = 1.78125    	 h = 0.015625    	 yi(1/2) = 24.7754    	 yi - yi(1/2) = 5.29635e-10    	 LEE = 5.64944e-10    	 c1 = 6    	 c2 = 1
	 i = 60    	 yi = 25.5027    	 xi = 1.79688    	 h = 0.015625    	 yi(1/2) = 25.5027    	 yi - yi(1/2) = 5.42915e-10    	 LEE = 5.79109e-10    	 c1 = 6    	 c2 = 1
	 i = 61    	 yi = 26.2498    	 xi = 1.8125    	 h = 0.015625    	 yi(1/2) = 26.2498    	 yi - yi(1/2) = 5.56508e-10    	 LEE = 5.93608e-10    	 c1 = 6    	 c2 = 1
	 i = 62    	 yi = 27.0171    	 xi = 1.82812    	 h = 0.015625    	 yi(1/2) = 27.0171    	 yi - yi(1/2) = 5.70409e-10    	 LEE = 6.08437e-10    	 c1 = 6    	 c2 = 1
	 i = 63    	 yi = 27.8052    	 xi = 1.84375    	 h = 0.015625    	 yi(1/2) = 27.8052    	 yi - yi(1/2) = 5.84635e-10    	 LEE = 6.2361e-10    	 c1 = 6    	 c2 = 1
	 i = 64    	 yi = 28.6145    	 xi = 1.85938    	 h = 0.015625    	 yi(1/2) = 28.6145    	 yi - yi(1/2) = 5.9919e-10    	 LEE = 6.39136e-10    	 c1 = 6    	 c2 = 1
	 i = 65    	 yi = 29.4456    	 xi = 1.875    	 h = 0.015625    	 yi(1/2) = 29.4456    	 yi - yi(1/2) = 6.14083e-10    	 LEE = 6.55022e-10    	 c1 = 6    	 c2 = 1
	 i = 66    	 yi = 30.299    	 xi = 1.89062    	 h = 0.015625    	 yi(1/2) = 30.299    	 yi - yi(1/2) = 6.29321e-10    	 LEE = 6.71275e-10    	 c1 = 6    	 c2 = 1
	 i = 67    	 yi = 31.1753    	 xi = 1.90625    	 h = 0.015625    	 yi(1/2) = 31.1753    	 yi - yi(1/2) = 6.44903e-10    	 LEE = 6.87896e-10    	 c1 = 6    	 c2 = 1
	 i = 68    	 yi = 32.075    	 xi = 1.92188    	 h = 0.015625    	 yi(1/2) = 32.075    	 yi - yi(1/2) = 6.60847e-10    	 LEE = 7.04904e-10    	 c1 = 6    	 c2 = 1
	 i = 69    	 yi = 32.9986    	 xi = 1.9375    	 h = 0.015625    	 yi(1/2) = 32.9986    	 yi - yi(1/2) = 6.77161e-10    	 LEE = 7.22306e-10    	 c1 = 6    	 c2 = 1
	 i = 70    	 yi = 33.9469    	 xi = 1.95312    	 h = 0.015625    	 yi(1/2) = 33.9469    	 yi - yi(1/2) = 6.93852e-10    	 LEE = 7.40109e-10    	 c1 = 6    	 c2 = 1
	 i = 71    	 yi = 34.9204    	 xi = 1.96875    	 h = 0.015625    	 yi(1/2) = 34.9204    	 yi - yi(1/2) = 7.10912e-10    	 LEE = 7.58306e-10    	 c1 = 6    	 c2 = 1
	 i = 72    	 yi = 35.9196    	 xi = 1.98438    	 h = 0.015625    	 yi(1/2) = 35.9196    	 yi - yi(1/2) = 7.28377e-10    	 LEE = 7.76936e-10    	 c1 = 6    	 c2 = 1
	 i = 73    	 yi = 36.9453    	 xi = 2    	 h = 0.015625    	 yi(1/2) = 36.9453    	 yi - yi(1/2) = 7.46233e-10    	 LEE = 7.95982e-10    	 c1 = 6    	 c2 = 1
	 i = 74    	 yi = 37.998    	 xi = 2.01562    	 h = 0.015625    	 yi(1/2) = 37.998    	 yi - yi(1/2) = 7.64501e-10    	 LEE = 8.15468e-10    	 c1 = 6    	 c2 = 1
	 i = 75    	 yi = 39.0784    	 xi = 2.03125    	 h = 0.015625    	 yi(1/2) = 39.0784    	 yi - yi(1/2) = 7.83196e-10    	 LEE = 8.35409e-10    	 c1 = 6    	 c2 = 1
	 i = 76    	 yi = 40.1873    	 xi = 2.04688    	 h = 0.015625    	 yi(1/2) = 40.1873    	 yi - yi(1/2) = 8.02302e-10    	 LEE = 8.55789e-10    	 c1 = 6    	 c2 = 1
	 i = 77    	 yi = 41.3252    	 xi = 2.0625    	 h = 0.015625    	 yi(1/2) = 41.3252    	 yi - yi(1/2) = 8.21842e-10    	 LEE = 8.76632e-10    	 c1 = 6    	 c2 = 1
	 i = 78    	 yi = 42.4928    	 xi = 2.07812    	 h = 0.015625    	 yi(1/2) = 42.4928    	 yi - yi(1/2) = 8.41837e-10    	 LEE = 8.97959e-10    	 c1 = 6    	 c2 = 1
	 i = 79    	 yi = 43.691    	 xi = 2.09375    	 h = 0.015625    	 yi(1/2) = 43.691    	 yi - yi(1/2) = 8.62279e-10    	 LEE = 9.19764e-10    	 c1 = 6    	 c2 = 1
	 i = 80    	 yi = 44.9204    	 xi = 2.10938    	 h = 0.015625    	 yi(1/2) = 44.9204    	 yi - yi(1/2) = 8.83183e-10    	 LEE = 9.42062e-10    	 c1 = 6    	 c2 = 1
	 i = 81    	 yi = 46.1818    	 xi = 2.125    	 h = 0.015625    	 yi(1/2) = 46.1818    	 yi - yi(1/2) = 9.04564e-10    	 LEE = 9.64868e-10    	 c1 = 6    	 c2 = 1
	 i = 82    	 yi = 47.4759    	 xi = 2.14062    	 h = 0.015625    	 yi(1/2) = 47.4759    	 yi - yi(1/2) = 9.26434e-10    	 LEE = 9.88196e-10    	 c1 = 6    	 c2 = 1
	 i = 83    	 yi = 48.8035    	 xi = 2.15625    	 h = 0.015625    	 yi(1/2) = 48.8035    	 yi - yi(1/2) = 9.48795e-10    	 LEE = 1.01205e-09    	 c1 = 6    	 c2 = 1
	 i = 84    	 yi = 50.1654    	 xi = 2.17188    	 h = 0.015625    	 yi(1/2) = 50.1654    	 yi - yi(1/2) = 9.7166e-10    	 LEE = 1.03644e-09    	 c1 = 6    	 c2 = 1
	 i = 85    	 yi = 51.5625    	 xi = 2.1875    	 h = 0.015625    	 yi(1/2) = 51.5625    	 yi - yi(1/2) = 9.95044e-10    	 LEE = 1.06138e-09    	 c1 = 6    	 c2 = 1
	 i = 86    	 yi = 52.9956    	 xi = 2.20312    	 h = 0.015625    	 yi(1/2) = 52.9956    	 yi - yi(1/2) = 1.01896e-09    	 LEE = 1.08689e-09    	 c1 = 6    	 c2 = 1
	 i = 87    	 yi = 54.4655    	 xi = 2.21875    	 h = 0.015625    	 yi(1/2) = 54.4655    	 yi - yi(1/2) = 1.04341e-09    	 LEE = 1.11297e-09    	 c1 = 6    	 c2 = 1
	 i = 88    	 yi = 55.9732    	 xi = 2.23438    	 h = 0.015625    	 yi(1/2) = 55.9732    	 yi - yi(1/2) = 1.0684e-09    	 LEE = 1.13963e-09    	 c1 = 6    	 c2 = 1
