	 i = -1    	 yi = 1    	 xi = 0    	 h = 0.25    	 yi(1/2) = 2.05923    	 yi - yi(1/2) = -0.00850182    	 LEE = 0.00971636    	 c1 = 1    	 c2 = 0
	 i = 2489    	 yi = 157871    	 xi = 7.83594    	 h = 0.000976562    	 yi(1/2) = 157871    	 yi - yi(1/2) = -8.00355e-09    	 LEE = 9.14692e-09    	 c1 = 10    	 c2 = 1
	 i = 2490    	 yi = 158064    	 xi = 7.83691    	 h = 0.000976562    	 yi(1/2) = 158064    	 yi - yi(1/2) = -8.03266e-09    	 LEE = 9.18018e-09    	 c1 = 10    	 c2 = 1
	 i = 2491    	 yi = 158257    	 xi = 7.83789    	 h = 0.000976562    	 yi(1/2) = 158257    	 yi - yi(1/2) = -8.03266e-09    	 LEE = 9.18018e-09    	 c1 = 10    	 c2 = 1
	 i = 2492    	 yi = 158451    	 xi = 7.83887    	 h = 0.000976562    	 yi(1/2) = 158451    	 yi - yi(1/2) = -8.06176e-09    	 LEE = 9.21344e-09    	 c1 = 10    	 c2 = 1
	 i = 2493    	 yi = 158644    	 xi = 7.83984    	 h = 0.000976562    	 yi(1/2) = 158644    	 yi - yi(1/2) = -8.06176e-09    	 LEE = 9.21344e-09    	 c1 = 10    	 c2 = 1
	 i = 2494    	 yi = 158838    	 xi = 7.84082    	 h = 0.000976562    	 yi(1/2) = 158838    	 yi - yi(1/2) = -8.06176e-09    	 LEE = 9.21344e-09    	 c1 = 10    	 c2 = 1
	 i = 2495    	 yi = 159032    	 xi = 7.8418    	 h = 0.000976562    	 yi(1/2) = 159032    	 yi - yi(1/2) = -8.09086e-09    	 LEE = 9.2467e-09    	 c1 = 10    	 c2 = 1
	 i = 2496    	 yi = 159227    	 xi = 7.84277    	 h = 0.000976562    	 yi(1/2) = 159227    	 yi - yi(1/2) = -8.09086e-09    	 LEE = 9.2467e-09    	 c1 = 10    	 c2 = 1
	 i = 2497    	 yi = 159422    	 xi = 7.84375    	 h = 0.000976562    	 yi(1/2) = 159422    	 yi - yi(1/2) = -8.09086e-09    	 LEE = 9.2467e-09    	 c1 = 10    	 c2 = 1
	 i = 2498    	 yi = 159616    	 xi = 7.84473    	 h = 0.000976562    	 yi(1/2) = 159616    	 yi - yi(1/2) = -8.11997e-09    	 LEE = 9.27996e-09    	 c1 = 10    	 c2 = 1
	 i = 2499    	 yi = 159811    	 xi = 7.8457    	 h = 0.000976562    	 yi(1/2) = 159811    	 yi - yi(1/2) = -8.11997e-09    	 LEE = 9.27996e-09    	 c1 = 10    	 c2 = 1
	 i = 2500    	 yi = 160007    	 xi = 7.84668    	 h = 0.000976562    	 yi(1/2) = 160007    	 yi - yi(1/2) = -8.11997e-09    	 LEE = 9.27996e-09    	 c1 = 10    	 c2 = 1
	 i = 2501    	 yi = 160202    	 xi = 7.84766    	 h = 0.000976562    	 yi(1/2) = 160202    	 yi - yi(1/2) = -8.14907e-09    	 LEE = 9.31323e-09    	 c1 = 10    	 c2 = 1
	 i = 2502    	 yi = 160398    	 xi = 7.84863    	 h = 0.000976562    	 yi(1/2) = 160398    	 yi - yi(1/2) = -8.14907e-09    	 LEE = 9.31323e-09    	 c1 = 10    	 c2 = 1
	 i = 2503    	 yi = 160594    	 xi = 7.84961    	 h = 0.000976562    	 yi(1/2) = 160594    	 yi - yi(1/2) = -8.14907e-09    	 LEE = 9.31323e-09    	 c1 = 10    	 c2 = 1
	 i = 2504    	 yi = 160790    	 xi = 7.85059    	 h = 0.000976562    	 yi(1/2) = 160790    	 yi - yi(1/2) = -8.14907e-09    	 LEE = 9.31323e-09    	 c1 = 10    	 c2 = 1
	 i = 2505    	 yi = 160987    	 xi = 7.85156    	 h = 0.000976562    	 yi(1/2) = 160987    	 yi - yi(1/2) = -8.14907e-09    	 LEE = 9.31323e-09    	 c1 = 10    	 c2 = 1
	 i = 2506    	 yi = 161184    	 xi = 7.85254    	 h = 0.000976562    	 yi(1/2) = 161184    	 yi - yi(1/2) = -8.17818e-09    	 LEE = 9.34649e-09    	 c1 = 10    	 c2 = 1
	 i = 2507    	 yi = 161381    	 xi = 7.85352    	 h = 0.000976562    	 yi(1/2) = 161381    	 yi - yi(1/2) = -8.17818e-09    	 LEE = 9.34649e-09    	 c1 = 10    	 c2 = 1
	 i = 2508    	 yi = 161578    	 xi = 7.85449    	 h = 0.000976562    	 yi(1/2) = 161578    	 yi - yi(1/2) = -8.20728e-09    	 LEE = 9.37975e-09    	 c1 = 10    	 c2 = 1
	 i = 2509    	 yi = 161775    	 xi = 7.85547    	 h = 0.000976562    	 yi(1/2) = 161775    	 yi - yi(1/2) = -8.20728e-09    	 LEE = 9.37975e-09    	 c1 = 10    	 c2 = 1
	 i = 2510    	 yi = 161973    	 xi = 7.85645    	 h = 0.000976562    	 yi(1/2) = 161973    	 yi - yi(1/2) = -8.23638e-09    	 LEE = 9.41301e-09    	 c1 = 10    	 c2 = 1
	 i = 2511    	 yi = 162171    	 xi = 7.85742    	 h = 0.000976562    	 yi(1/2) = 162171    	 yi - yi(1/2) = -8.20728e-09    	 LEE = 9.37975e-09    	 c1 = 10    	 c2 = 1
	 i = 2512    	 yi = 162369    	 xi = 7.8584    	 h = 0.000976562    	 yi(1/2) = 162369    	 yi - yi(1/2) = -8.26549e-09    	 LEE = 9.44627e-09    	 c1 = 10    	 c2 = 1
	 i = 2513    	 yi = 162568    	 xi = 7.85938    	 h = 0.000976562    	 yi(1/2) = 162568    	 yi - yi(1/2) = -8.23638e-09    	 LEE = 9.41301e-09    	 c1 = 10    	 c2 = 1
	 i = 2514    	 yi = 162766    	 xi = 7.86035    	 h = 0.000976562    	 yi(1/2) = 162766    	 yi - yi(1/2) = -8.26549e-09    	 LEE = 9.44627e-09    	 c1 = 10    	 c2 = 1
	 i = 2515    	 yi = 162965    	 xi = 7.86133    	 h = 0.000976562    	 yi(1/2) = 162965    	 yi - yi(1/2) = -8.29459e-09    	 LEE = 9.47953e-09    	 c1 = 10    	 c2 = 1
	 i = 2516    	 yi = 163164    	 xi = 7.8623    	 h = 0.000976562    	 yi(1/2) = 163164    	 yi - yi(1/2) = -8.29459e-09    	 LEE = 9.47953e-09    	 c1 = 10    	 c2 = 1
	 i = 2517    	 yi = 163363    	 xi = 7.86328    	 h = 0.000976562    	 yi(1/2) = 163363    	 yi - yi(1/2) = -8.29459e-09    	 LEE = 9.47953e-09    	 c1 = 10    	 c2 = 1
	 i = 2518    	 yi = 163563    	 xi = 7.86426    	 h = 0.000976562    	 yi(1/2) = 163563    	 yi - yi(1/2) = -8.29459e-09    	 LEE = 9.47953e-09    	 c1 = 10    	 c2 = 1
	 i = 2519    	 yi = 163763    	 xi = 7.86523    	 h = 0.000976562    	 yi(1/2) = 163763    	 yi - yi(1/2) = -8.29459e-09    	 LEE = 9.47953e-09    	 c1 = 10    	 c2 = 1
	 i = 2520    	 yi = 163963    	 xi = 7.86621    	 h = 0.000976562    	 yi(1/2) = 163963    	 yi - yi(1/2) = -8.3237e-09    	 LEE = 9.51279e-09    	 c1 = 10    	 c2 = 1
	 i = 2521    	 yi = 164163    	 xi = 7.86719    	 h = 0.000976562    	 yi(1/2) = 164163    	 yi - yi(1/2) = -8.3528e-09    	 LEE = 9.54606e-09    	 c1 = 10    	 c2 = 1
	 i = 2522    	 yi = 164364    	 xi = 7.86816    	 h = 0.000976562    	 yi(1/2) = 164364    	 yi - yi(1/2) = -8.3237e-09    	 LEE = 9.51279e-09    	 c1 = 10    	 c2 = 1
	 i = 2523    	 yi = 164565    	 xi = 7.86914    	 h = 0.000976562    	 yi(1/2) = 164565    	 yi - yi(1/2) = -8.3528e-09    	 LEE = 9.54606e-09    	 c1 = 10    	 c2 = 1
	 i = 2524    	 yi = 164766    	 xi = 7.87012    	 h = 0.000976562    	 yi(1/2) = 164766    	 yi - yi(1/2) = -8.3528e-09    	 LEE = 9.54606e-09    	 c1 = 10    	 c2 = 1
	 i = 2525    	 yi = 164967    	 xi = 7.87109    	 h = 0.000976562    	 yi(1/2) = 164967    	 yi - yi(1/2) = -8.3819e-09    	 LEE = 9.57932e-09    	 c1 = 10    	 c2 = 1
	 i = 2526    	 yi = 165168    	 xi = 7.87207    	 h = 0.000976562    	 yi(1/2) = 165168    	 yi - yi(1/2) = -8.3528e-09    	 LEE = 9.54606e-09    	 c1 = 10    	 c2 = 1
	 i = 2527    	 yi = 165370    	 xi = 7.87305    	 h = 0.000976562    	 yi(1/2) = 165370    	 yi - yi(1/2) = -8.3819e-09    	 LEE = 9.57932e-09    	 c1 = 10    	 c2 = 1
	 i = 2528    	 yi = 165572    	 xi = 7.87402    	 h = 0.000976562    	 yi(1/2) = 165572    	 yi - yi(1/2) = -8.41101e-09    	 LEE = 9.61258e-09    	 c1 = 10    	 c2 = 1
	 i = 2529    	 yi = 165774    	 xi = 7.875    	 h = 0.000976562    	 yi(1/2) = 165774    	 yi - yi(1/2) = -8.41101e-09    	 LEE = 9.61258e-09    	 c1 = 10    	 c2 = 1
	 i = 2530    	 yi = 165977    	 xi = 7.87598    	 h = 0.000976562    	 yi(1/2) = 165977    	 yi - yi(1/2) = -8.44011e-09    	 LEE = 9.64584e-09    	 c1 = 10    	 c2 = 1
	 i = 2531    	 yi = 166180    	 xi = 7.87695    	 h = 0.000976562    	 yi(1/2) = 166180    	 yi - yi(1/2) = -8.44011e-09    	 LEE = 9.64584e-09    	 c1 = 10    	 c2 = 1
	 i = 2532    	 yi = 166382    	 xi = 7.87793    	 h = 0.000976562    	 yi(1/2) = 166382    	 yi - yi(1/2) = -8.41101e-09    	 LEE = 9.61258e-09    	 c1 = 10    	 c2 = 1
	 i = 2533    	 yi = 166586    	 xi = 7.87891    	 h = 0.000976562    	 yi(1/2) = 166586    	 yi - yi(1/2) = -8.44011e-09    	 LEE = 9.64584e-09    	 c1 = 10    	 c2 = 1
	 i = 2534    	 yi = 166789    	 xi = 7.87988    	 h = 0.000976562    	 yi(1/2) = 166789    	 yi - yi(1/2) = -8.46921e-09    	 LEE = 9.6791e-09    	 c1 = 10    	 c2 = 1
	 i = 2535    	 yi = 166993    	 xi = 7.88086    	 h = 0.000976562    	 yi(1/2) = 166993    	 yi - yi(1/2) = -8.46921e-09    	 LEE = 9.6791e-09    	 c1 = 10    	 c2 = 1
	 i = 2536    	 yi = 167197    	 xi = 7.88184    	 h = 0.000976562    	 yi(1/2) = 167197    	 yi - yi(1/2) = -8.49832e-09    	 LEE = 9.71236e-09    	 c1 = 10    	 c2 = 1
	 i = 2537    	 yi = 167401    	 xi = 7.88281    	 h = 0.000976562    	 yi(1/2) = 167401    	 yi - yi(1/2) = -8.49832e-09    	 LEE = 9.71236e-09    	 c1 = 10    	 c2 = 1
	 i = 2538    	 yi = 167605    	 xi = 7.88379    	 h = 0.000976562    	 yi(1/2) = 167605    	 yi - yi(1/2) = -8.49832e-09    	 LEE = 9.71236e-09    	 c1 = 10    	 c2 = 1
	 i = 2539    	 yi = 167810    	 xi = 7.88477    	 h = 0.000976562    	 yi(1/2) = 167810    	 yi - yi(1/2) = -8.52742e-09    	 LEE = 9.74563e-09    	 c1 = 10    	 c2 = 1
	 i = 2540    	 yi = 168015    	 xi = 7.88574    	 h = 0.000976562    	 yi(1/2) = 168015    	 yi - yi(1/2) = -8.52742e-09    	 LEE = 9.74563e-09    	 c1 = 10    	 c2 = 1
	 i = 2541    	 yi = 168220    	 xi = 7.88672    	 h = 0.000976562    	 yi(1/2) = 168220    	 yi - yi(1/2) = -8.52742e-09    	 LEE = 9.74563e-09    	 c1 = 10    	 c2 = 1
	 i = 2542    	 yi = 168425    	 xi = 7.8877    	 h = 0.000976562    	 yi(1/2) = 168425    	 yi - yi(1/2) = -8.55653e-09    	 LEE = 9.77889e-09    	 c1 = 10    	 c2 = 1
	 i = 2543    	 yi = 168631    	 xi = 7.88867    	 h = 0.000976562    	 yi(1/2) = 168631    	 yi - yi(1/2) = -8.55653e-09    	 LEE = 9.77889e-09    	 c1 = 10    	 c2 = 1
	 i = 2544    	 yi = 168837    	 xi = 7.88965    	 h = 0.000976562    	 yi(1/2) = 168837    	 yi - yi(1/2) = -8.55653e-09    	 LEE = 9.77889e-09    	 c1 = 10    	 c2 = 1
	 i = 2545    	 yi = 169043    	 xi = 7.89062    	 h = 0.000976562    	 yi(1/2) = 169043    	 yi - yi(1/2) = -8.58563e-09    	 LEE = 9.81215e-09    	 c1 = 10    	 c2 = 1
	 i = 2546    	 yi = 169250    	 xi = 7.8916    	 h = 0.000976562    	 yi(1/2) = 169250    	 yi - yi(1/2) = -8.58563e-09    	 LEE = 9.81215e-09    	 c1 = 10    	 c2 = 1
	 i = 2547    	 yi = 169456    	 xi = 7.89258    	 h = 0.000976562    	 yi(1/2) = 169456    	 yi - yi(1/2) = -8.58563e-09    	 LEE = 9.81215e-09    	 c1 = 10    	 c2 = 1
	 i = 2548    	 yi = 169663    	 xi = 7.89355    	 h = 0.000976562    	 yi(1/2) = 169663    	 yi - yi(1/2) = -8.61473e-09    	 LEE = 9.84541e-09    	 c1 = 10    	 c2 = 1
	 i = 2549    	 yi = 169870    	 xi = 7.89453    	 h = 0.000976562    	 yi(1/2) = 169870    	 yi - yi(1/2) = -8.58563e-09    	 LEE = 9.81215e-09    	 c1 = 10    	 c2 = 1
	 i = 2550    	 yi = 170078    	 xi = 7.89551    	 h = 0.000976562    	 yi(1/2) = 170078    	 yi - yi(1/2) = -8.61473e-09    	 LEE = 9.84541e-09    	 c1 = 10    	 c2 = 1
	 i = 2551    	 yi = 170285    	 xi = 7.89648    	 h = 0.000976562    	 yi(1/2) = 170285    	 yi - yi(1/2) = -8.64384e-09    	 LEE = 9.87867e-09    	 c1 = 10    	 c2 = 1
	 i = 2552    	 yi = 170493    	 xi = 7.89746    	 h = 0.000976562    	 yi(1/2) = 170493    	 yi - yi(1/2) = -8.64384e-09    	 LEE = 9.87867e-09    	 c1 = 10    	 c2 = 1
	 i = 2553    	 yi = 170701    	 xi = 7.89844    	 h = 0.000976562    	 yi(1/2) = 170701    	 yi - yi(1/2) = -8.67294e-09    	 LEE = 9.91193e-09    	 c1 = 10    	 c2 = 1
	 i = 2554    	 yi = 170910    	 xi = 7.89941    	 h = 0.000976562    	 yi(1/2) = 170910    	 yi - yi(1/2) = -8.64384e-09    	 LEE = 9.87867e-09    	 c1 = 10    	 c2 = 1
	 i = 2555    	 yi = 171118    	 xi = 7.90039    	 h = 0.000976562    	 yi(1/2) = 171118    	 yi - yi(1/2) = -8.67294e-09    	 LEE = 9.91193e-09    	 c1 = 10    	 c2 = 1
	 i = 2556    	 yi = 171327    	 xi = 7.90137    	 h = 0.000976562    	 yi(1/2) = 171327    	 yi - yi(1/2) = -8.67294e-09    	 LEE = 9.91193e-09    	 c1 = 10    	 c2 = 1
	 i = 2557    	 yi = 171536    	 xi = 7.90234    	 h = 0.000976562    	 yi(1/2) = 171536    	 yi - yi(1/2) = -8.70205e-09    	 LEE = 9.94519e-09    	 c1 = 10    	 c2 = 1
	 i = 2558    	 yi = 171746    	 xi = 7.90332    	 h = 0.000976562    	 yi(1/2) = 171746    	 yi - yi(1/2) = -8.67294e-09    	 LEE = 9.91193e-09    	 c1 = 10    	 c2 = 1
	 i = 2559    	 yi = 171955    	 xi = 7.9043    	 h = 0.000976562    	 yi(1/2) = 171955    	 yi - yi(1/2) = -8.73115e-09    	 LEE = 9.97846e-09    	 c1 = 10    	 c2 = 1
	 i = 2560    	 yi = 172165    	 xi = 7.90527    	 h = 0.000976562    	 yi(1/2) = 172165    	 yi - yi(1/2) = -8.70205e-09    	 LEE = 9.94519e-09    	 c1 = 10    	 c2 = 1
	 i = 2561    	 yi = 172375    	 xi = 7.90625    	 h = 0.000976562    	 yi(1/2) = 172375    	 yi - yi(1/2) = -8.73115e-09    	 LEE = 9.97846e-09    	 c1 = 10    	 c2 = 1
	 i = 2562    	 yi = 172585    	 xi = 7.90723    	 h = 0.000976562    	 yi(1/2) = 172585    	 yi - yi(1/2) = -8.73115e-09    	 LEE = 9.97846e-09    	 c1 = 10    	 c2 = 1
	 i = 2563    	 yi = 172796    	 xi = 7.9082    	 h = 0.000976562    	 yi(1/2) = 172796    	 yi - yi(1/2) = -8.76025e-09    	 LEE = 1.00117e-08    	 c1 = 10    	 c2 = 1
	 i = 2564    	 yi = 173007    	 xi = 7.90918    	 h = 0.000976562    	 yi(1/2) = 173007    	 yi - yi(1/2) = -8.76025e-09    	 LEE = 1.00117e-08    	 c1 = 10    	 c2 = 1
	 i = 2565    	 yi = 173218    	 xi = 7.91016    	 h = 0.000976562    	 yi(1/2) = 173218    	 yi - yi(1/2) = -8.76025e-09    	 LEE = 1.00117e-08    	 c1 = 10    	 c2 = 1
	 i = 2566    	 yi = 173429    	 xi = 7.91113    	 h = 0.000976562    	 yi(1/2) = 173429    	 yi - yi(1/2) = -8.78936e-09    	 LEE = 1.0045e-08    	 c1 = 10    	 c2 = 1
	 i = 2567    	 yi = 173641    	 xi = 7.91211    	 h = 0.000976562    	 yi(1/2) = 173641    	 yi - yi(1/2) = -8.78936e-09    	 LEE = 1.0045e-08    	 c1 = 10    	 c2 = 1
	 i = 2568    	 yi = 173853    	 xi = 7.91309    	 h = 0.000976562    	 yi(1/2) = 173853    	 yi - yi(1/2) = -8.78936e-09    	 LEE = 1.0045e-08    	 c1 = 10    	 c2 = 1
	 i = 2569    	 yi = 174065    	 xi = 7.91406    	 h = 0.000976562    	 yi(1/2) = 174065    	 yi - yi(1/2) = -8.81846e-09    	 LEE = 1.00782e-08    	 c1 = 10    	 c2 = 1
	 i = 2570    	 yi = 174278    	 xi = 7.91504    	 h = 0.000976562    	 yi(1/2) = 174278    	 yi - yi(1/2) = -8.84756e-09    	 LEE = 1.01115e-08    	 c1 = 10    	 c2 = 1
	 i = 2571    	 yi = 174490    	 xi = 7.91602    	 h = 0.000976562    	 yi(1/2) = 174490    	 yi - yi(1/2) = -8.84756e-09    	 LEE = 1.01115e-08    	 c1 = 10    	 c2 = 1
	 i = 2572    	 yi = 174703    	 xi = 7.91699    	 h = 0.000976562    	 yi(1/2) = 174703    	 yi - yi(1/2) = -8.81846e-09    	 LEE = 1.00782e-08    	 c1 = 10    	 c2 = 1
	 i = 2573    	 yi = 174916    	 xi = 7.91797    	 h = 0.000976562    	 yi(1/2) = 174916    	 yi - yi(1/2) = -8.84756e-09    	 LEE = 1.01115e-08    	 c1 = 10    	 c2 = 1
	 i = 2574    	 yi = 175130    	 xi = 7.91895    	 h = 0.000976562    	 yi(1/2) = 175130    	 yi - yi(1/2) = -8.84756e-09    	 LEE = 1.01115e-08    	 c1 = 10    	 c2 = 1
	 i = 2575    	 yi = 175343    	 xi = 7.91992    	 h = 0.000976562    	 yi(1/2) = 175343    	 yi - yi(1/2) = -8.87667e-09    	 LEE = 1.01448e-08    	 c1 = 10    	 c2 = 1
	 i = 2576    	 yi = 175557    	 xi = 7.9209    	 h = 0.000976562    	 yi(1/2) = 175557    	 yi - yi(1/2) = -8.90577e-09    	 LEE = 1.0178e-08    	 c1 = 10    	 c2 = 1
	 i = 2577    	 yi = 175771    	 xi = 7.92188    	 h = 0.000976562    	 yi(1/2) = 175771    	 yi - yi(1/2) = -8.87667e-09    	 LEE = 1.01448e-08    	 c1 = 10    	 c2 = 1
	 i = 2578    	 yi = 175986    	 xi = 7.92285    	 h = 0.000976562    	 yi(1/2) = 175986    	 yi - yi(1/2) = -8.93488e-09    	 LEE = 1.02113e-08    	 c1 = 10    	 c2 = 1
	 i = 2579    	 yi = 176201    	 xi = 7.92383    	 h = 0.000976562    	 yi(1/2) = 176201    	 yi - yi(1/2) = -8.90577e-09    	 LEE = 1.0178e-08    	 c1 = 10    	 c2 = 1
	 i = 2580    	 yi = 176416    	 xi = 7.9248    	 h = 0.000976562    	 yi(1/2) = 176416    	 yi - yi(1/2) = -8.93488e-09    	 LEE = 1.02113e-08    	 c1 = 10    	 c2 = 1
	 i = 2581    	 yi = 176631    	 xi = 7.92578    	 h = 0.000976562    	 yi(1/2) = 176631    	 yi - yi(1/2) = -8.96398e-09    	 LEE = 1.02445e-08    	 c1 = 10    	 c2 = 1
	 i = 2582    	 yi = 176846    	 xi = 7.92676    	 h = 0.000976562    	 yi(1/2) = 176846    	 yi - yi(1/2) = -8.93488e-09    	 LEE = 1.02113e-08    	 c1 = 10    	 c2 = 1
	 i = 2583    	 yi = 177062    	 xi = 7.92773    	 h = 0.000976562    	 yi(1/2) = 177062    	 yi - yi(1/2) = -8.93488e-09    	 LEE = 1.02113e-08    	 c1 = 10    	 c2 = 1
	 i = 2584    	 yi = 177278    	 xi = 7.92871    	 h = 0.000976562    	 yi(1/2) = 177278    	 yi - yi(1/2) = -8.99308e-09    	 LEE = 1.02778e-08    	 c1 = 10    	 c2 = 1
	 i = 2585    	 yi = 177494    	 xi = 7.92969    	 h = 0.000976562    	 yi(1/2) = 177494    	 yi - yi(1/2) = -8.99308e-09    	 LEE = 1.02778e-08    	 c1 = 10    	 c2 = 1
	 i = 2586    	 yi = 177711    	 xi = 7.93066    	 h = 0.000976562    	 yi(1/2) = 177711    	 yi - yi(1/2) = -8.99308e-09    	 LEE = 1.02778e-08    	 c1 = 10    	 c2 = 1
	 i = 2587    	 yi = 177927    	 xi = 7.93164    	 h = 0.000976562    	 yi(1/2) = 177927    	 yi - yi(1/2) = -9.02219e-09    	 LEE = 1.03111e-08    	 c1 = 10    	 c2 = 1
	 i = 2588    	 yi = 178144    	 xi = 7.93262    	 h = 0.000976562    	 yi(1/2) = 178144    	 yi - yi(1/2) = -8.99308e-09    	 LEE = 1.02778e-08    	 c1 = 10    	 c2 = 1
	 i = 2589    	 yi = 178362    	 xi = 7.93359    	 h = 0.000976562    	 yi(1/2) = 178362    	 yi - yi(1/2) = -9.05129e-09    	 LEE = 1.03443e-08    	 c1 = 10    	 c2 = 1
	 i = 2590    	 yi = 178579    	 xi = 7.93457    	 h = 0.000976562    	 yi(1/2) = 178579    	 yi - yi(1/2) = -9.02219e-09    	 LEE = 1.03111e-08    	 c1 = 10    	 c2 = 1
	 i = 2591    	 yi = 178797    	 xi = 7.93555    	 h = 0.000976562    	 yi(1/2) = 178797    	 yi - yi(1/2) = -9.05129e-09    	 LEE = 1.03443e-08    	 c1 = 10    	 c2 = 1
	 i = 2592    	 yi = 179015    	 xi = 7.93652    	 h = 0.000976562    	 yi(1/2) = 179015    	 yi - yi(1/2) = -9.0804e-09    	 LEE = 1.03776e-08    	 c1 = 10    	 c2 = 1
	 i = 2593    	 yi = 179233    	 xi = 7.9375    	 h = 0.000976562    	 yi(1/2) = 179233    	 yi - yi(1/2) = -9.05129e-09    	 LEE = 1.03443e-08    	 c1 = 10    	 c2 = 1
	 i = 2594    	 yi = 179452    	 xi = 7.93848    	 h = 0.000976562    	 yi(1/2) = 179452    	 yi - yi(1/2) = -9.0804e-09    	 LEE = 1.03776e-08    	 c1 = 10    	 c2 = 1
	 i = 2595    	 yi = 179671    	 xi = 7.93945    	 h = 0.000976562    	 yi(1/2) = 179671    	 yi - yi(1/2) = -9.0804e-09    	 LEE = 1.03776e-08    	 c1 = 10    	 c2 = 1
	 i = 2596    	 yi = 179890    	 xi = 7.94043    	 h = 0.000976562    	 yi(1/2) = 179890    	 yi - yi(1/2) = -9.0804e-09    	 LEE = 1.03776e-08    	 c1 = 10    	 c2 = 1
	 i = 2597    	 yi = 180109    	 xi = 7.94141    	 h = 0.000976562    	 yi(1/2) = 180109    	 yi - yi(1/2) = -9.0804e-09    	 LEE = 1.03776e-08    	 c1 = 10    	 c2 = 1
	 i = 2598    	 yi = 180329    	 xi = 7.94238    	 h = 0.000976562    	 yi(1/2) = 180329    	 yi - yi(1/2) = -9.1386e-09    	 LEE = 1.04441e-08    	 c1 = 10    	 c2 = 1
	 i = 2599    	 yi = 180549    	 xi = 7.94336    	 h = 0.000976562    	 yi(1/2) = 180549    	 yi - yi(1/2) = -9.1095e-09    	 LEE = 1.04109e-08    	 c1 = 10    	 c2 = 1
	 i = 2600    	 yi = 180769    	 xi = 7.94434    	 h = 0.000976562    	 yi(1/2) = 180769    	 yi - yi(1/2) = -9.1386e-09    	 LEE = 1.04441e-08    	 c1 = 10    	 c2 = 1
	 i = 2601    	 yi = 180989    	 xi = 7.94531    	 h = 0.000976562    	 yi(1/2) = 180989    	 yi - yi(1/2) = -9.1386e-09    	 LEE = 1.04441e-08    	 c1 = 10    	 c2 = 1
	 i = 2602    	 yi = 181210    	 xi = 7.94629    	 h = 0.000976562    	 yi(1/2) = 181210    	 yi - yi(1/2) = -9.16771e-09    	 LEE = 1.04774e-08    	 c1 = 10    	 c2 = 1
	 i = 2603    	 yi = 181431    	 xi = 7.94727    	 h = 0.000976562    	 yi(1/2) = 181431    	 yi - yi(1/2) = -9.16771e-09    	 LEE = 1.04774e-08    	 c1 = 10    	 c2 = 1
	 i = 2604    	 yi = 181652    	 xi = 7.94824    	 h = 0.000976562    	 yi(1/2) = 181652    	 yi - yi(1/2) = -9.16771e-09    	 LEE = 1.04774e-08    	 c1 = 10    	 c2 = 1
	 i = 2605    	 yi = 181874    	 xi = 7.94922    	 h = 0.000976562    	 yi(1/2) = 181874    	 yi - yi(1/2) = -9.16771e-09    	 LEE = 1.04774e-08    	 c1 = 10    	 c2 = 1
	 i = 2606    	 yi = 182095    	 xi = 7.9502    	 h = 0.000976562    	 yi(1/2) = 182095    	 yi - yi(1/2) = -9.19681e-09    	 LEE = 1.05106e-08    	 c1 = 10    	 c2 = 1
	 i = 2607    	 yi = 182317    	 xi = 7.95117    	 h = 0.000976562    	 yi(1/2) = 182317    	 yi - yi(1/2) = -9.19681e-09    	 LEE = 1.05106e-08    	 c1 = 10    	 c2 = 1
	 i = 2608    	 yi = 182540    	 xi = 7.95215    	 h = 0.000976562    	 yi(1/2) = 182540    	 yi - yi(1/2) = -9.22591e-09    	 LEE = 1.05439e-08    	 c1 = 10    	 c2 = 1
	 i = 2609    	 yi = 182762    	 xi = 7.95312    	 h = 0.000976562    	 yi(1/2) = 182762    	 yi - yi(1/2) = -9.22591e-09    	 LEE = 1.05439e-08    	 c1 = 10    	 c2 = 1
	 i = 2610    	 yi = 182985    	 xi = 7.9541    	 h = 0.000976562    	 yi(1/2) = 182985    	 yi - yi(1/2) = -9.25502e-09    	 LEE = 1.05772e-08    	 c1 = 10    	 c2 = 1
	 i = 2611    	 yi = 183208    	 xi = 7.95508    	 h = 0.000976562    	 yi(1/2) = 183208    	 yi - yi(1/2) = -9.25502e-09    	 LEE = 1.05772e-08    	 c1 = 10    	 c2 = 1
	 i = 2612    	 yi = 183431    	 xi = 7.95605    	 h = 0.000976562    	 yi(1/2) = 183431    	 yi - yi(1/2) = -9.28412e-09    	 LEE = 1.06104e-08    	 c1 = 10    	 c2 = 1
	 i = 2613    	 yi = 183655    	 xi = 7.95703    	 h = 0.000976562    	 yi(1/2) = 183655    	 yi - yi(1/2) = -9.28412e-09    	 LEE = 1.06104e-08    	 c1 = 10    	 c2 = 1
	 i = 2614    	 yi = 183879    	 xi = 7.95801    	 h = 0.000976562    	 yi(1/2) = 183879    	 yi - yi(1/2) = -9.28412e-09    	 LEE = 1.06104e-08    	 c1 = 10    	 c2 = 1
	 i = 2615    	 yi = 184103    	 xi = 7.95898    	 h = 0.000976562    	 yi(1/2) = 184103    	 yi - yi(1/2) = -9.31323e-09    	 LEE = 1.06437e-08    	 c1 = 10    	 c2 = 1
	 i = 2616    	 yi = 184327    	 xi = 7.95996    	 h = 0.000976562    	 yi(1/2) = 184327    	 yi - yi(1/2) = -9.34233e-09    	 LEE = 1.06769e-08    	 c1 = 10    	 c2 = 1
