	 i = -1    	 yi = 1    	 xi = 0    	 h = 0.25    	 yi(1/2) = 2.05923    	 yi - yi(1/2) = -0.00850182    	 LEE = 0.00971636    	 c1 = 1    	 c2 = 0
	 i = 44    	 yi = 3.01874    	 xi = 0.703125    	 h = 0.015625    	 yi(1/2) = 3.01874    	 yi - yi(1/2) = -2.70299e-08    	 LEE = 3.08913e-08    	 c1 = 5    	 c2 = 0
	 i = 45    	 yi = 3.11186    	 xi = 0.71875    	 h = 0.015625    	 yi(1/2) = 3.11186    	 yi - yi(1/2) = -2.78265e-08    	 LEE = 3.18018e-08    	 c1 = 5    	 c2 = 0
	 i = 46    	 yi = 3.20819    	 xi = 0.734375    	 h = 0.015625    	 yi(1/2) = 3.20819    	 yi - yi(1/2) = -2.86438e-08    	 LEE = 3.27358e-08    	 c1 = 5    	 c2 = 0
	 i = 47    	 yi = 3.30781    	 xi = 0.75    	 h = 0.015625    	 yi(1/2) = 3.30781    	 yi - yi(1/2) = -2.94821e-08    	 LEE = 3.36938e-08    	 c1 = 5    	 c2 = 0
	 i = 48    	 yi = 3.41083    	 xi = 0.765625    	 h = 0.015625    	 yi(1/2) = 3.41083    	 yi - yi(1/2) = -3.03419e-08    	 LEE = 3.46765e-08    	 c1 = 5    	 c2 = 0
	 i = 49    	 yi = 3.51733    	 xi = 0.78125    	 h = 0.015625    	 yi(1/2) = 3.51733    	 yi - yi(1/2) = -3.12238e-08    	 LEE = 3.56844e-08    	 c1 = 5    	 c2 = 0
	 i = 50    	 yi = 3.62743    	 xi = 0.796875    	 h = 0.015625    	 yi(1/2) = 3.62743    	 yi - yi(1/2) = -3.21283e-08    	 LEE = 3.67181e-08    	 c1 = 5    	 c2 = 0
	 i = 51    	 yi = 3.74122    	 xi = 0.8125    	 h = 0.015625    	 yi(1/2) = 3.74122    	 yi - yi(1/2) = -3.30559e-08    	 LEE = 3.77781e-08    	 c1 = 5    	 c2 = 0
	 i = 52    	 yi = 3.85881    	 xi = 0.828125    	 h = 0.015625    	 yi(1/2) = 3.85881    	 yi - yi(1/2) = -3.40071e-08    	 LEE = 3.88653e-08    	 c1 = 5    	 c2 = 0
	 i = 53    	 yi = 3.98032    	 xi = 0.84375    	 h = 0.015625    	 yi(1/2) = 3.98032    	 yi - yi(1/2) = -3.49825e-08    	 LEE = 3.998e-08    	 c1 = 5    	 c2 = 0
	 i = 54    	 yi = 4.10585    	 xi = 0.859375    	 h = 0.015625    	 yi(1/2) = 4.10585    	 yi - yi(1/2) = -3.59827e-08    	 LEE = 4.11231e-08    	 c1 = 5    	 c2 = 0
